epoch,optimizer_updates,processed_trajectories,sampled_windows,rollout_steps_per_window,mean_training_relative_l2_per_trajectory_step,sampled_start_min,sampled_start_max,sampled_unique_start_count,learning_rate_used,learning_rate_next_epoch,epoch_seconds,mean_epoch_seconds_this_process,estimated_remaining_seconds,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes
62,3906,1000,1000,20,0.03624229526519775,0,435,404,0.001,0.001,122.82608949998394,126.16734942618669,11102.726749504429,1049466880,1193279488
63,3969,1000,1000,20,0.039279701256752016,0,435,401,0.001,0.001,122.76990700000897,126.08923105115808,10969.763101450753,1049466880,1193279488
64,4032,1000,1000,20,0.041374809813499454,0,435,383,0.001,0.001,121.8399530001916,125.99339517045088,10835.431984658775,1049466880,1193279488
65,4095,1000,1000,20,0.03806157677173615,0,435,390,0.001,0.001,125.076414400246,125.97376072221539,10707.769661388307,1049466880,1193279488
66,4158,1000,1000,20,0.03747307319641113,0,435,393,0.001,0.001,121.6408947003074,125.88027749130624,10573.943309269725,1049466880,1193279488
67,4221,1000,1000,20,0.035508860993385315,0,434,382,0.001,0.001,120.62688510026783,125.76926826170467,10438.849265721487,1049466880,1193279488
68,4284,1000,1000,20,0.0358026061296463,0,435,392,0.001,0.001,120.81246849987656,125.6667516187493,10304.673632737442,1049466880,1193279488
69,4347,1000,1000,20,0.03741202220916748,0,435,393,0.001,0.001,133.5336117995903,125.8283492224481,10192.096287018296,1049466880,1193279488
70,4410,1000,1000,20,0.03800144064426422,0,435,396,0.001,0.001,119.45811929972842,125.70172511000186,10056.13800880015,1049466880,1193279488
71,4473,1000,1000,20,0.042927459478378296,0,435,395,0.001,0.001,121.43129030009732,125.65369938627141,9926.64225151544,1049466880,1193279488
72,4536,1000,1000,20,0.037098677158355714,1,435,394,0.001,0.001,122.27280579973012,125.58945886345688,9795.977791349636,1049466880,1193279488
73,4599,1000,1000,20,0.0345843433380127,0,435,397,0.001,0.001,127.41642219992355,125.62467173962274,9673.09972395095,1049466880,1193279488
74,4662,1000,1000,20,0.035304970502853396,0,435,377,0.001,0.001,122.33035490009934,125.56440568703262,9542.894832214479,1049466880,1193279488
75,4725,1000,1000,20,0.03524055607318878,0,435,402,0.001,0.001,122.25403100019321,125.5048705436374,9412.865290772805,1049466880,1193279488
76,4788,1000,1000,20,0.04019173355102539,0,435,400,0.001,0.001,122.74475480010733,125.4563161946384,9283.767398403243,1049466880,1193279488
77,4851,1000,1000,20,0.04169377360343933,1,435,381,0.001,0.001,122.46406099991873,125.40447750877132,9154.526858140307,1049466880,1193279488
78,4914,1000,1000,20,0.04013347268104553,0,435,394,0.001,0.001,122.58990140026435,125.35661955517395,9025.676607972524,1049466880,1193279488
79,4977,1000,1000,20,0.032699236273765565,0,435,388,0.001,0.001,128.1380277997814,125.4043888220311,8903.711606364208,1049466880,1193279488
80,5040,1000,1000,20,0.033806724905967714,0,435,387,0.001,0.001,124.91362169990316,125.39687197166495,8777.781038016547,1049466880,1193279488
81,5103,1000,1000,20,0.032515818428993225,0,435,390,0.001,0.001,123.05333230039105,125.37814945573385,8651.092312445635,1049466880,1193279488
82,5166,1000,1000,20,0.03248086247444153,0,435,394,0.001,0.001,123.0100642000325,125.34057343386925,8523.15899350311,1049466880,1193279488
83,5229,1000,1000,20,0.03624737570285797,0,435,394,0.001,0.001,127.01040909998119,125.36770876666294,8399.636487366417,1049466880,1193279488
84,5292,1000,1000,20,0.03430573265552521,2,435,382,0.001,0.001,123.27436249982566,125.33592810625123,8272.171255012581,1049466880,1193279488
85,5355,1000,1000,20,0.03834492259025574,0,435,398,0.001,0.001,128.68607070017606,125.38810546461207,8150.226855199784,1049466880,1193279488
86,5418,1000,1000,20,0.03452598111629486,0,435,402,0.001,0.001,122.4778932002373,125.34464863030183,8022.057512339317,1049466880,1193279488
87,5481,1000,1000,20,0.03292108702659607,0,435,397,0.001,0.001,122.14065059972927,125.29751961492697,7893.743735740399,1049466880,1193279488
88,5544,1000,1000,20,0.032179585480690005,1,435,390,0.001,0.001,125.32552829990163,125.29857375146821,7768.511572591029,1049466880,1193279488
89,5607,1000,1000,20,0.03335405476093292,0,435,391,0.001,0.001,127.24292450025678,125.32741828985593,7644.972515681212,1049466880,1193279488
90,5670,1000,1000,20,0.030786107087135316,0,435,395,0.001,0.001,122.3785002999939,125.2859507214278,7517.157043285668,1049466880,1193279488
91,5733,1000,1000,20,0.03864454298019409,0,435,397,0.001,0.001,123.55733500001952,125.2790208690157,7391.462231271926,1049466880,1193279488
92,5796,1000,1000,20,0.039972754049301146,0,435,386,0.001,0.001,124.19981659995392,125.26464180555195,7265.349224722013,1049466880,1193279488
93,5859,1000,1000,20,0.03275286729335785,0,435,391,0.001,0.001,123.81729480018839,125.24538493013546,7138.986941017721,1049466880,1193279488
94,5922,1000,1000,20,0.03140029730796814,0,435,389,0.001,0.001,124.2126724999398,125.23203383377954,7012.9938946916545,1049466880,1193279488
95,5985,1000,1000,20,0.0321978789806366,0,435,389,0.001,0.001,124.14296710025519,125.2181213853322,6886.996676193271,1049466880,1193279488
96,6048,1000,1000,20,0.03102637584209442,0,435,396,0.001,0.001,124.01012430014089,125.20278525000168,6760.950403500091,1049466880,1193279488
97,6111,1000,1000,20,0.035311776471138,0,435,388,0.001,0.001,124.2523480001837,125.19105725454214,6635.126034490733,1049466880,1193279488
98,6174,1000,1000,20,0.0336883407831192,0,435,390,0.001,0.001,123.26346770022064,125.16691483461705,6508.679571400086,1049466880,1193279488
99,6237,1000,1000,20,0.03113879129886627,0,435,390,0.001,0.001,127.42861420009285,125.19613716582167,6385.002995456905,1049466880,1193279488
100,6300,1000,1000,20,0.031840551710128784,0,435,392,0.001,0.0005,120.7675816998817,125.14135029374738,6257.067514687369,1049466880,1193279488
101,6363,1000,1000,20,0.026898462748527526,0,435,388,0.0005,0.0005,123.17755480017513,125.13186240740649,6131.461257962917,1049466880,1193279488
102,6426,1000,1000,20,0.024710321021080017,0,435,400,0.0005,0.0005,124.15887329960242,125.12057989146334,6005.787834790241,1049466880,1193279488
103,6489,1000,1000,20,0.024623312830924986,0,435,387,0.0005,0.0005,120.20437719998881,125.06192293373239,5877.910377885422,1049466880,1193279488
104,6552,1000,1000,20,0.024407987844944,0,435,395,0.0005,0.0005,121.98304610000923,125.0258226369042,5751.187841297593,1049466880,1193279488
105,6615,1000,1000,20,0.023549596214294432,0,435,386,0.0005,0.0005,123.20375039987266,125.00493570235284,5625.222106605877,1049466880,1193279488
106,6678,1000,1000,20,0.02429466519355774,1,435,392,0.0005,0.0005,121.95931400032714,124.97003921395341,5498.6817254139505,1049466880,1193279488
107,6741,1000,1000,20,0.02501218433380127,0,435,395,0.0005,0.0005,122.3919469001703,124.94094007471362,5372.460423212686,1049466880,1193279488
108,6804,1000,1000,20,0.0254914427280426,0,435,386,0.0005,0.0005,122.66524149989709,124.91561000113671,5246.455620047742,1049466880,1193279488
109,6867,1000,1000,20,0.024582831513881683,0,435,394,0.0005,0.0005,127.15427300008014,124.9417454516829,5122.611563518999,1049466880,1193279488
110,6930,1000,1000,20,0.02332602183818817,0,435,401,0.0005,0.0005,121.7334180995822,124.90664924555458,4996.265969822183,1049466880,1193279488
111,6993,1000,1000,20,0.023189304780960082,0,435,400,0.0005,0.0005,122.26087020011619,124.8897599857147,4870.700639442874,1049466880,1193279488
112,7056,1000,1000,20,0.025707049584388734,0,435,395,0.0005,0.0005,127.10571420006454,124.91435910869673,4746.7456461304755,1049466880,1193279488
113,7119,1000,1000,20,0.025876991653442382,0,434,395,0.0005,0.0005,123.26816550036892,124.8973395290324,4621.201562574199,1049466880,1193279488
114,7182,1000,1000,20,0.022429167532920836,0,435,387,0.0005,0.0005,121.68867410020903,124.86370918829925,4495.093530778773,1049466880,1193279488
115,7245,1000,1000,20,0.024287909841537475,0,435,390,0.0005,0.0005,125.43464789958671,124.87023426947233,4370.458199431531,1049466880,1193279488
116,7308,1000,1000,20,0.02284288684129715,0,435,389,0.0005,0.0005,123.10475170006976,124.85256906562427,4244.987348231225,1049466880,1193279488
117,7371,1000,1000,20,0.02319727929830551,0,434,396,0.0005,0.0005,124.98668710002676,124.85450548350273,4120.19868095559,1049466880,1193279488
118,7434,1000,1000,20,0.022793025088310243,0,435,398,0.0005,0.0005,122.7930759000592,124.83400843571397,3994.688269942847,1049466880,1193279488
119,7497,1000,1000,20,0.02334764904975891,0,435,392,0.0005,0.0005,122.40604780009016,124.81000332525376,3869.1101030828668,1049466880,1193279488
120,7560,1000,1000,20,0.022935967063903807,1,435,398,0.0005,0.0005,122.77667320007458,124.79019831399899,3743.7059494199693,1049466880,1193279488
121,7623,1000,1000,20,0.023302792501449586,0,435,396,0.0005,0.0005,127.27333959983662,124.82684141485076,3619.978401030672,1049466880,1193279488
122,7686,1000,1000,20,0.023429628837108613,0,434,394,0.0005,0.0005,124.76189270010218,124.82677559509837,3495.149716662754,1049466880,1193279488
123,7749,1000,1000,20,0.0224128742814064,0,435,393,0.0005,0.0005,128.3064906001091,124.8610847689329,3371.2492887611884,1049466880,1193279488
124,7812,1000,1000,20,0.022359727597236635,0,435,387,0.0005,0.0005,124.08567639999092,124.85414368653885,3246.20773585001,1049466880,1193279488
125,7875,1000,1000,20,0.02271373792886734,0,435,393,0.0005,0.0005,121.41869839979336,124.82193477333391,3120.5483693333476,1049466880,1193279488
126,7938,1000,1000,20,0.022745255839824677,0,435,391,0.0005,0.0005,126.0021190000698,124.83358567452744,2996.0060561886585,1049466880,1193279488
127,8001,1000,1000,20,0.022548725247383116,0,435,390,0.0005,0.0005,120.28803100017831,124.79156663551248,2870.206032616787,1049466880,1193279488
128,8064,1000,1000,20,0.02249924774169922,0,433,398,0.0005,0.0005,123.81153069995344,124.78299841944438,2745.225965227776,1049466880,1193279488
129,8127,1000,1000,20,0.023135317158699036,0,435,394,0.0005,0.0005,130.46882340032607,124.83567559449514,2621.549187484398,1049466880,1193279488
130,8190,1000,1000,20,0.02416979959011078,0,435,402,0.0005,0.0005,122.91098150005564,124.81864840090698,2496.3729680181395,1049466880,1193279488
131,8253,1000,1000,20,0.02504812762737274,0,435,383,0.0005,0.0005,123.74445939995348,124.82091431171206,2371.597371922529,1049466880,1193279488
132,8316,1000,1000,20,0.022494003677368164,0,435,400,0.0005,0.0005,122.62817450007424,124.80182313214338,2246.432816378581,1049466880,1193279488
133,8379,1000,1000,20,0.02406252121925354,1,435,390,0.0005,0.0005,120.41154740005732,124.76348832920111,2120.9793015964187,1049466880,1193279488
134,8442,1000,1000,20,0.022197925877571106,0,435,392,0.0005,0.0005,122.81273909984156,124.74700386754417,1995.9520618807067,1049466880,1193279488
135,8505,1000,1000,20,0.023014661478996275,0,435,387,0.0005,0.0005,124.22313169995323,124.74294224608609,1871.1441336912912,1049466880,1193279488
136,8568,1000,1000,20,0.023596518921852112,1,435,392,0.0005,0.0005,121.02703090012074,124.71141225172222,1745.9597715241111,1049466880,1193279488
137,8631,1000,1000,20,0.02228678843975067,0,435,404,0.0005,0.0005,127.09597909962758,124.73229145128121,1621.5197888666557,1049466880,1193279488
138,8694,1000,1000,20,0.024683185935020446,0,435,395,0.0005,0.0005,122.96296139992774,124.71776729999742,1496.613207599969,1049466880,1193279488
139,8757,1000,1000,20,0.022022629976272582,0,435,393,0.0005,0.0005,121.28040379984304,124.68937605629996,1371.5831366192997,1049466880,1193279488
140,8820,1000,1000,20,0.022221383035182955,0,435,390,0.0005,0.0005,123.5630361000076,124.68051383166652,1246.805138316665,1049466880,1193279488
141,8883,1000,1000,20,0.02224921990633011,0,435,392,0.0005,0.0005,127.64417409989983,124.71417032396575,1122.4275329156917,1049466880,1193279488
142,8946,1000,1000,20,0.025682616329193116,0,435,394,0.0005,0.0005,125.99172729998827,124.7253444565567,997.8027556524536,1049466880,1193279488
143,9009,1000,1000,20,0.02268926627635956,0,435,384,0.0005,0.0005,125.86165169999003,124.73529380406593,873.1470566284615,1049466880,1193279488
144,9072,1000,1000,20,0.022376467537879943,0,435,391,0.0005,0.0005,125.06476540025324,124.73854129354756,748.4312477612854,1049466880,1193279488
145,9135,1000,1000,20,0.022794213604927064,0,434,404,0.0005,0.0005,121.30428280029446,124.71155324880034,623.5577662440018,1049466880,1193279488
146,9198,1000,1000,20,0.02158932124376297,0,435,396,0.0005,0.0005,122.7120555001311,124.69611844920465,498.7844737968186,1049466880,1193279488
147,9261,1000,1000,20,0.0238071888923645,0,435,403,0.0005,0.0005,125.12952970014885,124.70003394960742,374.10010184882225,1049466880,1193279488
148,9324,1000,1000,20,0.023525231170654297,0,435,397,0.0005,0.0005,124.1487229000777,124.69617087187362,249.39234174374724,1049466880,1193279488
149,9387,1000,1000,20,0.022847040402889252,0,435,388,0.0005,0.0005,126.81813130015507,124.71315202945772,124.71315202945772,1049466880,1193279488
150,9450,1000,1000,20,0.021599572920799254,0,434,386,0.0005,0.0005,128.21221840009093,124.74053941461473,0.0,1049466880,1193279488
