experiment,cohort,task,band,method,seed,mean_relative_l2,finite_count,population,training_regime
S1,test_1040_1219,N64_t6_frequency_band,outside P31,GIFT,20260822,0.3817798611386091,180,180,GIFT
S1,test_1040_1219,N64_t6_frequency_band,outside P31,GIFT (high-frequency branch disabled),fixed,2.0261211686636176,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,P21,GIFT,20260820,0.01920309323262461,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,P21,GIFT,20260821,0.019203110456296784,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,P21,GIFT,20260822,0.019203094181349155,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,P21,GIFT (high-frequency branch disabled),fixed,0.01920310750446506,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,Q21,GIFT,20260820,0.32470033292152883,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,Q21,GIFT,20260821,0.3238786336964629,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,Q21,GIFT,20260822,0.32388420296960424,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,Q21,GIFT (high-frequency branch disabled),fixed,1.8059292534343825,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,P22-31,GIFT,20260820,0.26835051212076216,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,P22-31,GIFT,20260821,0.27098058578422357,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,P22-31,GIFT,20260822,0.2710354972502172,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,P22-31,GIFT (high-frequency branch disabled),fixed,1.7994690872448311,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,outside P31,GIFT,20260820,0.8952906499767522,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,outside P31,GIFT,20260821,0.873962316049921,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,outside P31,GIFT,20260822,0.8741463077639182,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,outside P31,GIFT (high-frequency branch disabled),fixed,1.9717861668973917,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 state,GIFT,20260820,0.8941183253402993,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 state,GIFT,20260821,0.8726776839724304,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 state,GIFT,20260822,0.8727476066540178,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 state,GIFT (high-frequency branch disabled),fixed,1.9657134134922591,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 dynamics,GIFT,20260820,0.4786823825899335,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 dynamics,GIFT,20260821,0.4657183071688624,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 dynamics,GIFT,20260822,0.46570029089672954,180,180,GIFT
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 dynamics,GIFT (high-frequency branch disabled),fixed,0.9999849595707411,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,P21,GIFT,20260820,0.01920372725127522,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,P21,GIFT,20260821,0.019203717032464686,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,P21,GIFT,20260822,0.019203728206863967,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,P21,GIFT (high-frequency branch disabled),fixed,0.01920372233401531,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,Q21,GIFT,20260820,0.32361970033482207,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,Q21,GIFT,20260821,0.3228177648610685,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,Q21,GIFT,20260822,0.32275266518748386,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,Q21,GIFT (high-frequency branch disabled),fixed,1.8055489780114664,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,P22-31,GIFT,20260820,0.26822582208453205,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,P22-31,GIFT,20260821,0.27084761594157486,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,P22-31,GIFT,20260822,0.2708621374517431,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,P22-31,GIFT (high-frequency branch disabled),fixed,1.7994567791437563,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,outside P31,GIFT,20260820,0.8935899722742148,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,outside P31,GIFT,20260821,0.8721534721808705,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,outside P31,GIFT,20260822,0.8718334202033156,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,outside P31,GIFT (high-frequency branch disabled),fixed,1.965050055772227,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 state,GIFT,20260820,0.8935841349593185,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 state,GIFT,20260821,0.8721444379261782,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 state,GIFT,20260822,0.8718251180933919,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 state,GIFT (high-frequency branch disabled),fixed,1.964961833525044,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 dynamics,GIFT,20260820,0.4785514856531326,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 dynamics,GIFT,20260821,0.4655704549867129,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 dynamics,GIFT,20260822,0.4654058479665635,180,180,GIFT
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 dynamics,GIFT (high-frequency branch disabled),fixed,0.9999794853631275,180,180,GIFT
S1,validation_1000_1019,validation_derivative,full,GIFT-Lite,20260820,0.057382139886844985,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative,full,GIFT-Lite,20260821,0.05755483800509892,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative,full,GIFT-Lite,20260822,0.05750028630580529,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative,full,GIFT-Lite (high-frequency branch disabled),fixed,0.09858911614197817,9940,9940,GIFT-Lite
S1,test_1040_1219,N64_t6,full,GIFT-Lite,20260820,0.040756138744587465,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6,full,GIFT-Lite,20260821,0.04066547992579262,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6,full,GIFT-Lite,20260822,0.04086851508641563,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6,full,GIFT-Lite (high-frequency branch disabled),fixed,0.061416250666291854,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6,full,GIFT-Lite,20260820,0.039785161465171116,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6,full,GIFT-Lite,20260821,0.039675538090432345,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6,full,GIFT-Lite,20260822,0.03980257938298806,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6,full,GIFT-Lite (high-frequency branch disabled),fixed,0.05844466122129879,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6,full,GIFT-Lite,20260820,0.03977138811232993,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6,full,GIFT-Lite,20260821,0.039663325949192155,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6,full,GIFT-Lite,20260822,0.039791430243084784,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6,full,GIFT-Lite (high-frequency branch disabled),fixed,0.05842543101117355,180,180,GIFT-Lite
S1,test_1040_1219,N64_t8,full,GIFT-Lite,20260820,0.08812309756108816,180,180,GIFT-Lite
S1,test_1040_1219,N64_t8,full,GIFT-Lite,20260821,0.08821904190276307,180,180,GIFT-Lite
S1,test_1040_1219,N64_t8,full,GIFT-Lite,20260822,0.08822826619960648,180,180,GIFT-Lite
S1,test_1040_1219,N64_t8,full,GIFT-Lite (high-frequency branch disabled),fixed,0.1029758836918809,180,180,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,P21,GIFT-Lite,20260820,0.04292799119601628,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,P21,GIFT-Lite,20260821,0.04292799120064301,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,P21,GIFT-Lite,20260822,0.0429279912168341,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,P21,GIFT-Lite (high-frequency branch disabled),fixed,0.04292799121422353,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,Q21,GIFT-Lite,20260820,3.6717107951718972,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,Q21,GIFT-Lite,20260821,3.5396979438966283,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,Q21,GIFT-Lite,20260822,3.2281015718511266,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,Q21,GIFT-Lite (high-frequency branch disabled),fixed,1.0000014572175484,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,P22-31,GIFT-Lite,20260820,3.681729034013963,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,P22-31,GIFT-Lite,20260821,3.547781067637639,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,P22-31,GIFT-Lite,20260822,3.237209791340461,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,P22-31,GIFT-Lite (high-frequency branch disabled),fixed,1.0000017929977782,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,outside P31,GIFT-Lite,20260820,5.393637912565035,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,outside P31,GIFT-Lite,20260821,5.12458282387651,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,outside P31,GIFT-Lite,20260822,4.294242267393555,9940,9940,GIFT-Lite
S1,validation_1000_1019,validation_derivative_frequency_band,outside P31,GIFT-Lite (high-frequency branch disabled),fixed,1.0000201333225542,9940,9940,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,P21,GIFT-Lite,20260820,0.036162463772263856,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,P21,GIFT-Lite,20260821,0.03616245979649138,180,180,GIFT-Lite
S1,test_1040_1219,N64_t6_frequency_band,P21,GIFT-Lite,20260822,0.036162466653510236,180,180,GIFT-Lite
