resolution,cohort,metric,experiment,method,seed,absolute_time,lead_time,population,finite_count,mean,sample_sd,median,p95,maximum
N64,test_1040_1219,full_relative_l2,M3,GIFT,20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
N64,test_1040_1219,full_relative_l2,M3,GIFT,20260820,5.1,0.09999999999999964,180,180,0.015564041477741854,0.0031521311590991556,0.01532780608678291,0.021135245519827733,0.023917528458452186
N64,test_1040_1219,full_relative_l2,M3,GIFT,20260820,5.2,0.20000000000000018,180,180,0.019841232522925883,0.004023002305430783,0.019565714046976563,0.02692483798213826,0.031197437771363013
N64,test_1040_1219,full_relative_l2,M3,GIFT,20260820,5.3,0.2999999999999998,180,180,0.021326116391789485,0.004534675706258,0.020827018850837365,0.029402165356417192,0.03475584442216162
N64,test_1040_1219,full_relative_l2,M3,GIFT,20260820,5.4,0.40000000000000036,180,180,0.021820451819163464,0.004831202479938715,0.021268883582969293,0.030346364713844793,0.03521424972294838
N64,test_1040_1219,full_relative_l2,M3,GIFT,20260820,5.5,0.5,180,180,0.02185239676727612,0.0048484239443334146,0.021301941919952053,0.030286997042398803,0.03517315667472259
N64,test_1040_1219,full_relative_l2,M3,GIFT,20260820,5.6,0.5999999999999996,180,180,0.021761980619900336,0.004819466238451113,0.02151197556565522,0.029793183112839874,0.03425688603111464
N64,test_1040_1219,full_relative_l2,M3,GIFT,20260820,5.7,0.7000000000000002,180,180,0.021629024989843204,0.004786903771373304,0.021390653112803415,0.03021923806937655,0.035779708622471804
N64,test_1040_1219,full_relative_l2,M3,GIFT,20260820,5.8,0.7999999999999998,180,180,0.02142433605988957,0.004771641716261176,0.02110035510284452,0.029284032345426116,0.03705745193554676
N64,test_1040_1219,full_relative_l2,M3,GIFT,20260820,5.9,0.9000000000000004,180,180,0.021230050165631554,0.004747757147074813,0.02068604063968274,0.029145467811884113,0.0373207305847113
N64,test_1040_1219,full_relative_l2,M3,GIFT,20260820,6.0,1.0,180,180,0.02102944616329716,0.0047684206559569465,0.02048495523498907,0.028780971885080064,0.0373695447495217
N64,test_1040_1219,P21_relative_l2,M3,GIFT,20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
N64,test_1040_1219,P21_relative_l2,M3,GIFT,20260820,5.1,0.09999999999999964,180,180,0.012924179556740726,0.0026021671858768884,0.012721432170289745,0.017494608489291286,0.019632203371205567
N64,test_1040_1219,P21_relative_l2,M3,GIFT,20260820,5.2,0.20000000000000018,180,180,0.01710249136188425,0.0034585036255695856,0.016849610442654255,0.02276718243467005,0.027128186916904128
N64,test_1040_1219,P21_relative_l2,M3,GIFT,20260820,5.3,0.2999999999999998,180,180,0.018784229146236144,0.003975889826554908,0.01841012606273503,0.025899282941675345,0.030870782352342183
N64,test_1040_1219,P21_relative_l2,M3,GIFT,20260820,5.4,0.40000000000000036,180,180,0.019433539473758314,0.004259022827404815,0.0188360496731566,0.026459021499935766,0.03085355205601205
N64,test_1040_1219,P21_relative_l2,M3,GIFT,20260820,5.5,0.5,180,180,0.01962806261152856,0.004320082666761015,0.019206712658398187,0.02722300110297901,0.03119611514794806
N64,test_1040_1219,P21_relative_l2,M3,GIFT,20260820,5.6,0.5999999999999996,180,180,0.01968777483924735,0.004316296048529963,0.019419826568427792,0.026733276663460814,0.031107248195405526
N64,test_1040_1219,P21_relative_l2,M3,GIFT,20260820,5.7,0.7000000000000002,180,180,0.019673859702135706,0.004292063785330037,0.01954767401232361,0.027056147525231174,0.03131964239789417
N64,test_1040_1219,P21_relative_l2,M3,GIFT,20260820,5.8,0.7999999999999998,180,180,0.019544862397566608,0.004294643580998448,0.019282308519087892,0.02681103328556721,0.03300565887086202
N64,test_1040_1219,P21_relative_l2,M3,GIFT,20260820,5.9,0.9000000000000004,180,180,0.019445664228321544,0.004310159108061389,0.019008835364125724,0.026910869878803846,0.0335657422937947
N64,test_1040_1219,P21_relative_l2,M3,GIFT,20260820,6.0,1.0,180,180,0.01934071684975542,0.004341268785184545,0.018857102162967064,0.026489595007418678,0.03371900284696599
N64,test_1040_1219,Q21_relative_l2,M3,GIFT,20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
N64,test_1040_1219,Q21_relative_l2,M3,GIFT,20260820,5.1,0.09999999999999964,180,180,0.24603953435962056,0.02700465944213198,0.24256662558797373,0.2903982633615979,0.3615936756924342
N64,test_1040_1219,Q21_relative_l2,M3,GIFT,20260820,5.2,0.20000000000000018,180,180,0.29233258922333893,0.03162111133200705,0.2911004123258062,0.3522100689831936,0.3765686988479472
N64,test_1040_1219,Q21_relative_l2,M3,GIFT,20260820,5.3,0.2999999999999998,180,180,0.30141409065004393,0.031746136941381335,0.30048171825861425,0.35615084764285043,0.3768332131710264
