epoch,optimizer_updates,processed_trajectories,optimizer_batches,microbatches,micro_batch_size,effective_batch_size,backward_loss_mean_per_trajectory,full_spacetime_loss_mean_per_trajectory,learning_rate,epoch_seconds,mean_epoch_seconds_this_run,estimated_remaining_seconds,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes
1,50,1000,50,100,10,20,134.83111840820314,0.9056980443000794,0.001,143.86044569988735,143.8604518000502,71786.36544822506,9413277696,10097786880
2,100,1000,50,100,10,20,118.62494018554688,0.8063657546043396,0.001,189.13910540007055,166.5020703499904,82918.03103429521,9413277696,10097786880
3,150,1000,50,100,10,20,109.82945660400391,0.7503212676048279,0.001,181.76025200006552,171.58947753331935,85279.97033405972,9413277696,10097786880
4,200,1000,50,100,10,20,103.94302166748047,0.7114145092964173,0.001,184.08053869986907,174.71378965000622,86658.03966640308,9413277696,10097786880
5,250,1000,50,100,10,20,98.36101684570312,0.673549572467804,0.001,182.27351660002023,176.22658561998978,87232.15988189494,9413277696,10097786880
6,300,1000,50,100,10,20,95.20148431396484,0.6524390234947205,0.001,215.974243799923,182.86629893331943,90335.9516730598,9413277696,10097786880
7,350,1000,50,100,10,20,91.84860247802735,0.6307599925994873,0.001,219.26641059992835,188.06779505714908,92717.4229631745,9413277696,10097786880
8,400,1000,50,100,10,20,89.29895544433593,0.6130532507896423,0.001,229.72964750020765,193.27631742501399,95091.94817310688,9413277696,10097786880
9,450,1000,50,100,10,20,87.46291003417969,0.6013484539985656,0.001,196.25342199997976,193.60810581110934,95061.57995325468,9413277696,10097786880
10,500,1000,50,100,10,20,85.8700322265625,0.591877233505249,0.001,199.89017010014504,194.23680100999772,95176.03249489889,9413277696,10097786880
11,550,1000,50,100,10,20,85.45860919189452,0.5890157794952393,0.001,174.1373300999403,192.41526770909232,94091.06590974615,9413277696,10097786880
12,600,1000,50,100,10,20,83.08094580078125,0.5724430909156799,0.001,175.1569468001835,190.97755769999154,93197.04815759587,9413277696,10097786880
13,650,1000,50,100,10,20,80.20084106445313,0.5537800216674804,0.001,178.5675781997852,190.02331319231038,92541.35352465516,9413277696,10097786880
14,700,1000,50,100,10,20,79.73938433837891,0.5503667616844177,0.001,192.90179000003263,190.22939922143374,92451.4880216168,9413277696,10097786880
15,750,1000,50,100,10,20,78.59119641113281,0.5422792053222656,0.001,181.42558840010315,189.6427671199975,91976.74205319879,9413277696,10097786880
16,800,1000,50,100,10,20,76.65068023681641,0.5300531826019287,0.001,177.80873409984633,188.90709053125465,91431.03181712725,9413277696,10097786880
17,850,1000,50,100,10,20,76.16232159423828,0.5262081518173217,0.001,178.54079789994285,188.29759862940924,90947.74013800466,9413277696,10097786880
18,900,1000,50,100,10,20,75.20623748779298,0.5202813873291016,0.001,178.88817319995724,187.77518091666408,90507.63720183208,9413277696,10097786880
19,950,1000,50,100,10,20,74.99112371826172,0.519410831451416,0.001,185.5605293000117,187.6588453368382,90263.90460701917,9413277696,10097786880
20,1000,1000,50,100,10,20,73.8361796875,0.5108352494239807,0.001,184.04293500003405,187.47841659999685,89989.63996799849,9413277696,10097786880
21,1050,1000,50,100,10,20,73.0131812133789,0.5051144452095032,0.001,176.68832979979925,186.96783149524015,89557.59128622003,9413277696,10097786880
