cohort,resolution,metric,experiment,method,seed,absolute_time,lead_time,population,finite_count,mean,sample_sd,median,p95,maximum
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260820,5.1,0.0999999999999996,180,180,0.0204788525934001,0.0041490908714913,0.0204149815712191,0.0276766530592462,0.0311704194835935
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260820,5.2,0.2000000000000001,180,180,0.0283949253209346,0.0057919204464889,0.0275752595908716,0.0384867308553787,0.0444379604620873
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260820,5.3,0.2999999999999998,180,180,0.0320860213874244,0.0066096093203187,0.0308554273151862,0.0442780343318715,0.0523662279806822
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260820,5.4,0.4000000000000003,180,180,0.03446464317958,0.0073502674086446,0.0330934200171729,0.0480247613156447,0.0583173322018523
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260820,5.5,0.5,180,180,0.0360524784808822,0.0080107893645229,0.035299385080246,0.0503470776656696,0.064926290065936
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260820,5.6,0.5999999999999996,180,180,0.0373663303425404,0.0086075650790563,0.0363119505762259,0.0529100296761155,0.0694177234510512
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260820,5.7,0.7000000000000002,180,180,0.0383897757086513,0.0090627840783595,0.0371257826486265,0.0557963131537208,0.0705313021978211
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260820,5.8,0.7999999999999998,180,180,0.0391968010935929,0.0096023501948736,0.03827759670696,0.0591141774639333,0.0711660573694649
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260820,5.9,0.9000000000000004,180,180,0.0399092482290806,0.0103504917398734,0.0386376210869098,0.058414596340985,0.0829618955796509
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260820,6.0,1.0,180,180,0.0407561399596288,0.0116355569539961,0.0388754945919811,0.0580208243162648,0.1102658180070993
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260821,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260821,5.1,0.0999999999999996,180,180,0.0204310884091596,0.0041131187323472,0.0202553146334173,0.027753771261787,0.0307621479131975
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260821,5.2,0.2000000000000001,180,180,0.028239934545572,0.0057041839964155,0.0273750858654398,0.0379067554536491,0.0449841502905755
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260821,5.3,0.2999999999999998,180,180,0.031925516206202,0.0066221733518394,0.0308865919651279,0.0438555288497475,0.0538120371663985
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260821,5.4,0.4000000000000003,180,180,0.0342878627258985,0.007384560171851,0.0329288650323865,0.0469996124562778,0.0618382298279009
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260821,5.5,0.5,180,180,0.0359161743181861,0.0080220238618863,0.035345040808274,0.0507315250837928,0.0676974091400388
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260821,5.6,0.5999999999999996,180,180,0.0372154488627677,0.0086323958083995,0.0362746169928124,0.0529559368374621,0.0711471518662185
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260821,5.7,0.7000000000000002,180,180,0.038252915086529,0.0090342328732072,0.0370502541127491,0.0554616719432241,0.0713303117598497
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260821,5.8,0.7999999999999998,180,180,0.0390958075001159,0.0095538419495797,0.0379310083584274,0.0588009534371649,0.0708721154488104
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260821,5.9,0.9000000000000004,180,180,0.0398299058637021,0.0102994801223828,0.0383396288029855,0.0583809182587902,0.0827522977214477
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260821,6.0,1.0,180,180,0.0406654955323267,0.0115685373081292,0.0388204432263665,0.0579110900776179,0.1099124843726618
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260822,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260822,5.1,0.0999999999999996,180,180,0.0205010253461331,0.004133434687985,0.0203757697415306,0.0279919318047088,0.031414550690808
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260822,5.2,0.2000000000000001,180,180,0.0284450666365461,0.0057453118841429,0.02760475086317,0.0383977205281777,0.0445299427545884
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260822,5.3,0.2999999999999998,180,180,0.0322052607481468,0.0066461935406683,0.031182590529087,0.0440720508195268,0.0536006485318074
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260822,5.4,0.4000000000000003,180,180,0.0345839683561851,0.0073409529780835,0.0332124770803749,0.0480661235484992,0.0583077339404342
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260822,5.5,0.5,180,180,0.0362132735526673,0.0079686621838204,0.0352962490060669,0.0500288639583573,0.0655913434451598
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260822,5.6,0.5999999999999996,180,180,0.0375634795046389,0.0086051011706115,0.036703674763429,0.0531309674486618,0.070691530100868
test_1040_1219,N64,full_relative_l2,M3,GIFT-Lite,20260822,5.7,0.7000000000000002,180,180,0.0385738987314334,0.009085078678778,0.03728126229791,0.0565977812788404,0.0720779025996106
