trajectory_id,method,formal_group,absolute_time,relative_l2,field_minimum,field_maximum,residual_minimum,residual_maximum
2265,GIFT,GIFT_seed_20260820,5.0,0.0,-13.024406433105469,13.875743865966797,0.0,0.0
2265,GIFT,GIFT_seed_20260820,6.0,0.01383571681237124,-13.997599601745605,15.114734649658203,-0.46854257583618164,0.2914574146270752
2265,GIFT,GIFT_seed_20260820,7.0,0.015289496098285315,-12.373746871948242,16.556894302368164,-0.36864376068115234,0.3152981102466583
2265,GIFT,GIFT_seed_20260820,8.0,0.018699125263160556,-7.872901916503906,17.63577651977539,-0.3207402229309082,0.45272815227508545
2265,GIFT-Lite,GIFT_Lite_seed_20260820,5.0,0.0,-13.024406433105469,13.875743865966797,0.0,0.0
2265,GIFT-Lite,GIFT_Lite_seed_20260820,6.0,0.04224352421781067,-13.86965274810791,15.20263385772705,-1.432025671005249,1.5531744956970215
2265,GIFT-Lite,GIFT_Lite_seed_20260820,7.0,0.09036700594296718,-12.453291893005371,16.52232551574707,-2.804751396179199,3.1891655921936035
2265,GIFT-Lite,GIFT_Lite_seed_20260820,8.0,0.4175380212050705,-13.670995712280273,17.542966842651367,-10.696993827819824,9.774333953857422
2265,FNO-2D,FNO_2D,5.0,0.0,-13.024406433105469,13.875743865966797,0.0,0.0
2265,FNO-2D,FNO_2D,6.0,0.2242385123384669,-12.740060806274414,13.947491645812988,-4.870593547821045,4.879718780517578
2265,FNO-2D,FNO_2D,7.0,0.30540075628937957,-12.129430770874023,16.27642059326172,-6.497607231140137,4.577664375305176
2265,FNO-2D,FNO_2D,8.0,0.45565282974359594,-8.201519012451172,16.58481788635254,-7.349899768829346,5.6173319816589355
2265,FNO-3D,FNO_3D,5.0,0.0,-13.024406433105469,13.875743865966797,0.0,0.0
2265,FNO-3D,FNO_3D,6.0,0.2939787602562558,-14.251320838928223,13.660893440246582,-5.399134159088135,5.442384719848633
2265,FNO-3D,FNO_3D,7.0,0.553748151149163,-10.028521537780762,11.891176223754883,-6.091794490814209,8.714338302612305
2265,FNO-3D,FNO_3D,8.0,0.8420496618482302,-6.274312973022461,7.176955223083496,-13.20341682434082,7.850313186645508
2265,U-NO,U_NO,5.0,0.0,-13.024406433105469,13.875743865966797,0.0,0.0
2265,U-NO,U_NO,6.0,0.034022867468210184,-14.083721160888672,15.659673690795898,-0.6699528694152832,0.8074169158935547
2265,U-NO,U_NO,7.0,0.08414555523459101,-12.5469970703125,17.590208053588867,-1.6320749521255493,2.244831085205078
2265,U-NO,U_NO,8.0,0.17973040762397333,-8.00057601928711,18.563617706298828,-2.7449347972869873,3.297912120819092
2265,U-Net,U_Net,5.0,0.0,-13.024406433105469,13.875743865966797,0.0,0.0
2265,U-Net,U_Net,6.0,0.540619271075829,-17.65549659729004,17.930879592895508,-10.373428344726562,8.41730785369873
2265,U-Net,U_Net,7.0,1.2507292282977445,-19.922407150268555,21.530136108398438,-19.00153350830078,22.687477111816406
2265,U-Net,U_Net,8.0,1.9194109188522148,-18.430204391479492,24.060277938842773,-22.32288932800293,24.0401668548584
